listing_id,neighbourhood,property_area_sqft,property_age_years,listing_price_inr,size_group,age_group,price_per_sqft
PR0001,Riverside,801,2,6176709.0,Small,0-5 Years,7711.247191011236
PR0002,Tech_Park,2154,33,13293026.0,Very Large,31+ Years,6171.321262766945
PR0003,Tech_Park,2058,29,12785154.0,Very Large,21-30 Years,6212.416909620992
PR0004,Central,918,1,8683451.0,Small,0-5 Years,9459.096949891067
PR0005,Central,1167,11,9760999.0,Medium,11-20 Years,8364.180805484148
PR0006,Riverside,687,33,3988356.0,Small,31+ Years,5805.467248908297
PR0007,Tech_Park,1087,3,8665652.0,Medium,0-5 Years,7972.08095676173
PR0008,University,1262,3,7363530.0,Medium,0-5 Years,5834.809825673534
PR0009,Riverside,998,32,6476347.0,Small,31+ Years,6489.325651302605
PR0010,Riverside,1868,33,12412503.0,Large,31+ Years,6644.808886509636
PR0011,Suburb,722,5,3656025.0,Small,0-5 Years,5063.746537396122
PR0012,Central,2559,34,16530243.0,Luxury,31+ Years,6459.649472450176
PR0013,Tech_Park,1841,17,12736277.0,Large,11-20 Years,6918.129820749593
PR0014,Suburb,2073,27,9258285.0,Very Large,21-30 Years,4466.128798842257
PR0015,University,1008,15,5738655.0,Medium,11-20 Years,5693.110119047619
PR0016,University,949,14,5249747.0,Small,11-20 Years,5531.872497365648
PR0017,Central,1513,29,10863603.0,Large,21-30 Years,7180.173826834104
PR0018,Suburb,2266,31,9905175.0,Very Large,31+ Years,4371.215798764342
PR0019,University,2154,25,10919036.0,Very Large,21-30 Years,5069.190343546889
PR0020,Suburb,2358,25,11336283.0,Very Large,21-30 Years,4807.583969465649
PR0021,Tech_Park,1816,26,11656858.0,Large,21-30 Years,6418.9746696035245
PR0022,Riverside,1742,26,11635538.0,Large,21-30 Years,6679.413318025258
PR0023,University,1288,6,7816115.0,Medium,6-10 Years,6068.412267080746
PR0024,Suburb,1639,18,7572489.0,Large,11-20 Years,4620.188529591214
PR0025,Tech_Park,2212,24,14287106.0,Very Large,21-30 Years,6458.908679927667
PR0026,Central,2528,3,20907636.0,Luxury,0-5 Years,8270.425632911392
